storenum,secs,dayofweek,meal,drinkonly,cost
85,101,Mon,Dinner,No,507
666,108,Fri,Breakfast,No,466
156,169,Mon,Lunch,Yes,195
218,38,Mon,Lunch,No,235
195,222,Thur,Dinner,No,570
339,251,Tues,Dinner,No,322
809,167,Tues,Dinner,No,430
724,359,Fri,Lunch,No,220
577,267,Mon,Dinner,No,623
104,86,Thur,Dinner,No,358
751,220,Mon,Lunch,No,597
580,146,Mon,Lunch,No,369
295,108,Wed,Lunch,No,344
745,38,Thur,Lunch,No,410
671,556,Fri,Lunch,No,231
279,214,Tues,Lunch,No,243
428,544,Tues,Dinner,No,311
341,158,Thur,Dinner,No,333
784,171,Wed,Dinner,No,505
390,303,Thur,Dinner,No,693
18,65,Tues,Lunch,Yes,164
823,272,Fri,Lunch,No,276
500,274,Wed,Dinner,No,338
410,234,Mon,Lunch,No,221
722,132,Fri,Lunch,No,225
891,115,Thur,Lunch,No,545
694,347,Fri,Lunch,Yes,86
40,55,Wed,Dinner,No,431
865,90,Thur,Lunch,No,417
740,444,Wed,Dinner,No,362
551,202,Mon,Lunch,No,231
321,46,Mon,Dinner,No,410
332,150,Tues,Lunch,No,475
391,483,Tues,Dinner,No,698
445,93,Mon,Lunch,No,574
834,144,Wed,Lunch,Yes,124
240,559,Fri,Dinner,No,487
300,333,Wed,Dinner,No,517
278,451,Mon,Lunch,Yes,92
450,57,Thur,Lunch,No,415
45,121,Fri,Dinner,No,817
415,116,Tues,Breakfast,Yes,146
621,143,Thur,Lunch,Yes,126
238,219,Wed,Lunch,No,379
293,141,Fri,Lunch,No,252
211,199,Wed,Lunch,No,569
173,566,Mon,Lunch,No,259
667,413,Fri,Lunch,No,361
605,304,Thur,Dinner,Yes,103
358,174,Fri,Lunch,No,432
571,427,Thur,Lunch,No,343
628,147,Wed,Dinner,No,580
802,572,Fri,Dinner,No,357
86,52,Wed,Lunch,Yes,86
680,54,Wed,Lunch,No,358
1,408,Wed,Lunch,Yes,111
750,170,Fri,Dinner,No,794
838,479,Tues,Lunch,No,311
418,190,Thur,Dinner,No,422
804,121,Tues,Dinner,No,672
780,323,Wed,Breakfast,Yes,161
811,89,Thur,Breakfast,No,411
239,225,Tues,Lunch,No,416
405,132,Mon,Dinner,No,496
307,131,Tues,Lunch,No,521
6,109,Tues,Lunch,No,235
534,441,Mon,Breakfast,No,492
459,339,Mon,Dinner,No,392
808,290,Fri,Lunch,No,231
278,105,Tues,Lunch,No,438
271,316,Thur,Dinner,No,647
867,184,Mon,Dinner,No,297
360,59,Mon,Lunch,No,219
416,121,Fri,Lunch,No,485
827,185,Mon,Dinner,No,531
363,73,Tues,Lunch,No,316
431,379,Wed,Lunch,No,598
89,297,Mon,Breakfast,Yes,148
570,41,Mon,Breakfast,Yes,139
700,106,Wed,Dinner,Yes,134
67,120,Wed,Lunch,No,580
452,189,Tues,Breakfast,Yes,142
436,215,Wed,Lunch,No,470
102,42,Thur,Lunch,No,306
2,407,Tues,Lunch,No,270
527,118,Tues,Lunch,No,437
660,181,Tues,Lunch,No,263
358,74,Fri,Breakfast,No,496
270,221,Mon,Breakfast,No,333
65,206,Mon,Lunch,No,585
294,321,Wed,Breakfast,No,409
220,182,Thur,Breakfast,No,191
359,171,Mon,Lunch,No,320
93,354,Tues,Breakfast,No,430
102,152,Fri,Breakfast,No,190
625,52,Thur,Lunch,No,270
129,232,Wed,Dinner,No,517
709,195,Wed,Lunch,No,373
453,445,Thur,Lunch,No,423
852,103,Mon,Breakfast,No,310
803,136,Tues,Breakfast,Yes,133
834,161,Wed,Lunch,No,456
388,151,Wed,Dinner,No,709
822,332,Wed,Dinner,No,406
25,330,Wed,Dinner,No,348
719,81,Mon,Lunch,Yes,144
174,271,Thur,Breakfast,No,407
60,270,Mon,Lunch,No,407
658,196,Fri,Lunch,No,548
798,404,Mon,Dinner,No,638
180,115,Fri,Dinner,No,294
337,174,Thur,Lunch,No,546
815,53,Tues,Dinner,No,808
866,146,Mon,Lunch,No,281
375,63,Thur,Lunch,No,368
228,455,Thur,Dinner,No,431
419,130,Fri,Dinner,No,699
643,337,Fri,Lunch,No,400
246,129,Wed,Dinner,Yes,102
110,285,Wed,Dinner,Yes,179
479,166,Thur,Lunch,No,496
834,282,Thur,Lunch,Yes,155
662,333,Wed,Lunch,Yes,86
331,303,Fri,Lunch,No,598
224,303,Mon,Dinner,No,444
541,182,Mon,Breakfast,Yes,181
743,166,Mon,Dinner,Yes,101
351,148,Thur,Dinner,No,505
639,539,Fri,Dinner,No,685
825,64,Mon,Breakfast,No,177
429,87,Fri,Dinner,No,798
17,408,Wed,Lunch,No,530
363,52,Mon,Breakfast,No,476
612,39,Thur,Dinner,No,478
86,134,Wed,Lunch,No,462
180,129,Wed,Dinner,No,662
803,304,Tues,Lunch,No,369
586,135,Tues,Dinner,No,670
238,54,Mon,Breakfast,No,214
222,138,Tues,Dinner,No,456
192,212,Fri,Lunch,No,442
580,42,Wed,Lunch,No,574
528,151,Thur,Lunch,No,220
451,226,Tues,Lunch,No,562
127,130,Mon,Dinner,No,589
380,90,Fri,Lunch,No,386
441,135,Fri,Lunch,No,503
408,117,Mon,Lunch,No,258
304,82,Mon,Lunch,No,453
891,101,Wed,Breakfast,No,371
665,196,Fri,Lunch,No,582
674,114,Fri,Dinner,No,676
286,47,Thur,Breakfast,No,271
883,190,Mon,Dinner,No,436
673,109,Fri,Dinner,No,730
243,277,Tues,Lunch,No,241
618,399,Mon,Breakfast,Yes,169
192,223,Fri,Lunch,No,273
454,220,Tues,Lunch,No,437
743,532,Fri,Dinner,No,458
312,88,Fri,Dinner,No,350
299,454,Tues,Breakfast,No,333
889,563,Fri,Dinner,Yes,154
53,138,Fri,Lunch,No,337
178,182,Mon,Lunch,No,343
645,210,Thur,Dinner,No,413
722,145,Mon,Dinner,No,701
882,108,Fri,Dinner,Yes,139
480,343,Thur,Dinner,Yes,85
315,565,Thur,Dinner,No,819
584,123,Tues,Lunch,Yes,179
104,574,Thur,Lunch,No,453
432,167,Mon,Dinner,No,774
771,131,Fri,Lunch,No,456
276,185,Fri,Dinner,No,359
824,52,Tues,Dinner,No,684
602,217,Wed,Dinner,No,298
510,130,Tues,Lunch,No,245
674,412,Thur,Breakfast,No,356
667,409,Mon,Lunch,No,470
249,157,Tues,Lunch,No,252
260,213,Mon,Dinner,No,381
48,435,Fri,Breakfast,No,362
362,60,Mon,Lunch,No,448
110,97,Fri,Lunch,No,479
600,121,Thur,Dinner,No,602
596,107,Wed,Breakfast,No,190
880,507,Thur,Lunch,No,411
436,59,Fri,Dinner,No,566
833,159,Wed,Breakfast,No,291
376,54,Fri,Dinner,No,582
191,165,Wed,Lunch,No,569
452,43,Wed,Dinner,No,389
416,304,Thur,Lunch,No,304
244,118,Tues,Dinner,No,470
622,154,Tues,Lunch,No,509
492,166,Wed,Breakfast,No,184
759,176,Mon,Dinner,No,347
369,47,Tues,Dinner,Yes,133
603,124,Wed,Dinner,No,632
626,508,Thur,Lunch,No,512
714,166,Thur,Dinner,No,653
888,323,Wed,Dinner,Yes,142
372,410,Wed,Dinner,Yes,190
204,74,Thur,Lunch,No,254
471,517,Thur,Dinner,Yes,138
680,74,Mon,Dinner,No,451
63,201,Mon,Breakfast,No,197
792,31,Mon,Lunch,No,594
216,182,Tues,Dinner,No,586
890,121,Thur,Dinner,No,661
352,202,Thur,Lunch,No,419
29,374,Fri,Lunch,No,577
446,67,Tues,Breakfast,No,256
219,394,Thur,Breakfast,No,351
540,95,Tues,Dinner,Yes,182
146,498,Mon,Breakfast,No,372
255,67,Mon,Dinner,No,361
84,102,Tues,Breakfast,No,315
17,103,Tues,Lunch,No,495
430,293,Wed,Dinner,No,762
51,137,Fri,Breakfast,No,341
723,153,Tues,Lunch,No,569
5,183,Mon,Lunch,Yes,88
256,499,Fri,Breakfast,No,221
572,327,Fri,Lunch,No,596
849,360,Fri,Lunch,No,344
418,244,Thur,Breakfast,No,437
588,166,Thur,Lunch,No,253
297,415,Tues,Lunch,No,349
605,83,Fri,Dinner,No,295
804,137,Thur,Dinner,No,644
793,37,Thur,Dinner,No,732
194,135,Tues,Lunch,No,423
663,123,Tues,Breakfast,Yes,172
204,591,Fri,Lunch,Yes,146
210,89,Mon,Dinner,No,711
238,486,Fri,Dinner,No,607
414,46,Wed,Lunch,No,429
742,245,Tues,Lunch,No,552
57,376,Tues,Lunch,No,474
421,166,Thur,Lunch,No,459
533,124,Tues,Lunch,No,598
86,131,Thur,Lunch,No,574
56,276,Fri,Dinner,No,438
619,155,Mon,Lunch,No,482
685,244,Mon,Lunch,No,599
472,362,Fri,Dinner,Yes,195
357,118,Mon,Lunch,No,254
474,475,Thur,Lunch,No,400
793,141,Mon,Lunch,No,451
741,294,Fri,Lunch,Yes,173
61,85,Thur,Dinner,No,492
421,129,Fri,Lunch,No,480
30,339,Wed,Lunch,No,506
378,84,Thur,Lunch,No,476
173,499,Fri,Dinner,No,330
272,197,Fri,Lunch,No,339
787,347,Tues,Dinner,No,331
721,202,Mon,Breakfast,Yes,112
66,342,Mon,Dinner,No,620
379,163,Tues,Dinner,No,597
405,34,Thur,Lunch,No,477
892,154,Tues,Lunch,No,595
506,230,Tues,Breakfast,No,297
383,129,Thur,Breakfast,Yes,161
776,139,Wed,Dinner,No,374
513,74,Tues,Breakfast,No,211
10,497,Mon,Lunch,No,282
242,83,Wed,Lunch,No,310
704,91,Mon,Dinner,No,418
676,146,Mon,Dinner,No,596
262,125,Tues,Lunch,No,478
483,465,Tues,Breakfast,No,178
191,61,Wed,Breakfast,No,247
723,164,Mon,Dinner,No,316
759,390,Wed,Breakfast,No,232
145,160,Fri,Lunch,No,414
618,35,Thur,Dinner,No,468
823,283,Thur,Lunch,No,225
53,145,Fri,Lunch,No,464
773,207,Wed,Dinner,No,454
121,202,Wed,Dinner,No,701
570,142,Fri,Dinner,No,351
235,71,Tues,Lunch,No,481
178,379,Fri,Dinner,No,412
87,420,Wed,Lunch,No,438
266,150,Fri,Lunch,No,525
173,166,Wed,Lunch,No,513
700,432,Tues,Lunch,Yes,123
571,333,Fri,Lunch,No,556
7,565,Tues,Lunch,No,583
219,141,Tues,Lunch,Yes,106
548,126,Fri,Breakfast,No,264
526,517,Thur,Lunch,No,232
785,509,Tues,Lunch,Yes,156
408,409,Tues,Dinner,No,313
228,416,Wed,Lunch,No,554
14,166,Fri,Dinner,No,535
104,126,Mon,Breakfast,No,183
726,74,Fri,Dinner,No,699
564,316,Mon,Dinner,No,297
365,156,Wed,Dinner,No,468
599,201,Thur,Lunch,No,261
323,316,Wed,Lunch,Yes,88
524,406,Wed,Breakfast,Yes,86
428,116,Wed,Dinner,Yes,126
563,161,Fri,Dinner,No,402
522,63,Tues,Dinner,No,421
757,131,Tues,Breakfast,No,398
419,144,Mon,Lunch,No,402
172,148,Thur,Dinner,No,583
21,168,Mon,Breakfast,No,479
209,52,Thur,Lunch,No,335
843,141,Mon,Dinner,No,771
543,129,Wed,Lunch,No,332
44,75,Thur,Dinner,No,302
536,301,Thur,Dinner,No,540
245,207,Thur,Lunch,No,492
585,120,Mon,Dinner,Yes,180
127,333,Tues,Lunch,No,351
850,119,Tues,Lunch,No,451
197,143,Thur,Lunch,No,263
754,47,Tues,Lunch,No,415
591,106,Wed,Lunch,No,490
44,216,Mon,Lunch,No,375
530,104,Thur,Lunch,No,430
318,119,Mon,Lunch,No,354
540,161,Wed,Dinner,No,475
814,60,Mon,Dinner,No,306
27,148,Fri,Breakfast,Yes,160
615,438,Thur,Lunch,No,227
394,186,Wed,Dinner,No,353
730,56,Thur,Dinner,Yes,165
716,147,Fri,Dinner,No,346
831,125,Fri,Breakfast,No,432
891,107,Fri,Dinner,No,717
464,328,Fri,Lunch,No,561
852,232,Mon,Dinner,Yes,168
866,88,Thur,Breakfast,Yes,179
864,123,Thur,Lunch,No,298
495,145,Fri,Breakfast,No,276
818,127,Mon,Dinner,No,470
337,489,Wed,Lunch,No,283
156,228,Mon,Lunch,No,436
752,340,Mon,Dinner,No,708
753,36,Wed,Lunch,No,252
781,100,Mon,Lunch,No,371
680,502,Mon,Dinner,No,440
808,116,Wed,Dinner,No,584
168,389,Tues,Breakfast,Yes,115
448,447,Wed,Lunch,No,572
549,192,Wed,Lunch,No,368
528,344,Fri,Lunch,Yes,108
472,140,Fri,Lunch,No,300
824,158,Thur,Dinner,Yes,129
767,107,Mon,Dinner,No,804
173,118,Tues,Dinner,No,491
4,168,Wed,Lunch,No,380
678,184,Mon,Lunch,No,427
528,230,Tues,Breakfast,No,311
733,88,Wed,Lunch,No,533
809,432,Tues,Lunch,No,505
50,346,Tues,Lunch,No,517
791,112,Mon,Lunch,No,389
651,115,Thur,Dinner,No,426
41,161,Fri,Dinner,No,543
879,142,Wed,Dinner,No,484
640,90,Wed,Dinner,No,722
390,312,Tues,Dinner,No,819
107,287,Thur,Lunch,No,418
242,261,Fri,Lunch,No,346
502,151,Wed,Lunch,No,521
592,197,Mon,Dinner,No,573
819,43,Fri,Lunch,No,417
778,327,Wed,Lunch,No,401
648,64,Wed,Dinner,No,288
731,129,Fri,Dinner,No,718
305,110,Tues,Dinner,No,361
594,209,Mon,Lunch,No,545
497,121,Wed,Dinner,No,598
823,136,Thur,Dinner,No,807
820,157,Fri,Dinner,No,685
245,148,Mon,Dinner,No,332
325,142,Tues,Lunch,No,584
283,588,Tues,Dinner,No,719
544,31,Fri,Dinner,No,483
797,140,Wed,Dinner,No,422
810,78,Mon,Breakfast,No,302
738,274,Tues,Lunch,No,430
573,256,Wed,Lunch,No,591
31,184,Tues,Lunch,No,252
693,51,Mon,Lunch,No,230
442,96,Tues,Breakfast,No,259
371,36,Thur,Lunch,Yes,102
567,33,Tues,Dinner,No,420
554,116,Wed,Dinner,No,459
192,305,Wed,Dinner,No,319
570,351,Mon,Lunch,Yes,144
7,319,Fri,Lunch,No,280
198,417,Wed,Lunch,No,524
406,315,Fri,Dinner,No,711
4,50,Fri,Dinner,No,414
243,117,Thur,Dinner,No,705
636,34,Tues,Dinner,Yes,93
786,345,Tues,Lunch,Yes,127
162,162,Fri,Dinner,No,771
861,45,Tues,Lunch,No,575
223,143,Mon,Dinner,No,625
855,526,Wed,Dinner,No,626
260,97,Fri,Dinner,No,765
204,134,Tues,Lunch,No,298
34,149,Mon,Dinner,No,448
500,140,Tues,Lunch,No,481
93,354,Thur,Dinner,No,608
150,228,Mon,Dinner,No,758
813,241,Wed,Lunch,Yes,180
610,327,Fri,Dinner,No,456
478,146,Thur,Dinner,No,700
781,207,Tues,Lunch,No,535
60,79,Tues,Lunch,Yes,92
637,401,Wed,Lunch,No,554
337,461,Thur,Lunch,No,327
874,135,Tues,Dinner,No,480
597,487,Tues,Lunch,No,570
164,109,Wed,Dinner,No,571
331,174,Mon,Lunch,No,529
10,101,Tues,Lunch,No,233
184,215,Tues,Lunch,No,478
105,77,Fri,Lunch,No,499
430,193,Tues,Lunch,No,549
249,554,Wed,Breakfast,No,197
169,105,Thur,Dinner,No,684
519,135,Wed,Lunch,No,486
391,298,Mon,Lunch,No,472
325,168,Tues,Lunch,No,556
693,142,Wed,Breakfast,Yes,148
629,249,Mon,Lunch,No,484
425,69,Mon,Dinner,No,735
649,337,Thur,Lunch,No,259
36,240,Wed,Lunch,No,354
280,145,Mon,Dinner,No,743
817,238,Thur,Dinner,No,361
331,551,Thur,Dinner,No,783
273,183,Mon,Lunch,No,374
760,191,Thur,Dinner,No,546
69,263,Mon,Lunch,No,423
848,274,Tues,Dinner,No,556
469,147,Thur,Lunch,Yes,93
555,151,Fri,Lunch,No,532
83,44,Thur,Lunch,No,474
744,290,Wed,Dinner,No,540
14,360,Mon,Lunch,Yes,164
573,397,Tues,Lunch,No,341
783,39,Mon,Lunch,Yes,134
543,171,Tues,Lunch,No,308
310,359,Tues,Dinner,No,298
39,85,Thur,Dinner,Yes,108
508,81,Mon,Lunch,No,494
723,346,Fri,Dinner,No,540
562,157,Mon,Dinner,No,501
91,412,Mon,Lunch,No,278
487,514,Mon,Lunch,No,339
588,144,Thur,Dinner,No,692
513,85,Thur,Dinner,No,568
218,41,Fri,Lunch,Yes,133
773,492,Wed,Dinner,No,404
79,333,Thur,Dinner,No,552
591,180,Fri,Dinner,No,644
63,107,Wed,Lunch,Yes,94
42,202,Tues,Lunch,Yes,107
860,582,Fri,Dinner,No,813
134,534,Mon,Dinner,No,477
167,168,Thur,Dinner,Yes,155
610,346,Mon,Lunch,Yes,161
609,477,Fri,Lunch,No,260
83,222,Thur,Breakfast,No,479
252,55,Fri,Dinner,No,552
827,117,Fri,Dinner,Yes,182
765,401,Fri,Lunch,No,292
342,55,Mon,Breakfast,No,489
106,143,Wed,Lunch,No,547
891,57,Tues,Lunch,No,313
879,332,Tues,Lunch,No,400
730,167,Tues,Lunch,No,406
278,126,Mon,Breakfast,No,480
425,35,Wed,Dinner,No,316
593,97,Mon,Dinner,No,311
87,47,Wed,Breakfast,No,186
851,32,Fri,Lunch,No,333
379,172,Mon,Lunch,No,390
686,105,Wed,Breakfast,No,457
634,270,Tues,Dinner,No,671
160,520,Fri,Breakfast,No,214
488,182,Thur,Lunch,No,397
165,169,Mon,Lunch,No,372
861,169,Fri,Breakfast,No,232
443,82,Fri,Breakfast,No,386
226,176,Wed,Breakfast,Yes,116
318,83,Wed,Lunch,No,490
499,113,Wed,Lunch,No,232
652,32,Fri,Lunch,No,264
291,97,Wed,Dinner,Yes,190
737,135,Thur,Dinner,No,334
123,128,Tues,Dinner,No,580
404,101,Fri,Lunch,No,524
337,58,Tues,Lunch,No,343
416,49,Tues,Dinner,No,292
682,301,Wed,Breakfast,No,202
708,181,Thur,Lunch,No,388
234,153,Wed,Lunch,No,263
860,97,Mon,Lunch,No,417
147,43,Tues,Lunch,No,233
479,32,Mon,Lunch,No,508
569,130,Thur,Breakfast,No,405
517,287,Wed,Dinner,Yes,88
210,137,Mon,Lunch,No,281
389,136,Wed,Breakfast,Yes,178
99,141,Tues,Lunch,No,341
699,143,Mon,Lunch,No,464
