storenum,secs,dayofweek,meal,drinkonly,cost,satisfaction
102,271,Fri,Lunch,No,407,7
857,165,Fri,Lunch,Yes,121,6
261,78,Mon,Dinner,No,715,6
77,52,Fri,Lunch,No,221,6
468,577,Tues,Breakfast,No,490,7
754,110,Wed,Dinner,No,701,7
569,159,Thur,Dinner,No,675,7
724,447,Fri,Lunch,No,290,3
807,56,Tues,Lunch,No,399,8
775,190,Fri,Lunch,No,438,5
335,166,Thur,Breakfast,No,418,7
665,170,Fri,Lunch,No,410,6
889,274,Fri,Dinner,No,557,8
267,123,Mon,Lunch,No,486,6
679,154,Thur,Dinner,No,827,6
363,106,Tues,Dinner,No,750,6
216,322,Wed,Dinner,No,349,7
40,140,Tues,Lunch,No,467,5
714,266,Tues,Lunch,No,420,5
403,118,Thur,Dinner,No,306,5
319,411,Wed,Lunch,No,553,5
46,99,Fri,Breakfast,No,342,7
219,180,Fri,Dinner,No,411,6
884,40,Thur,Lunch,No,280,7
451,35,Tues,Dinner,No,315,7
193,34,Fri,Lunch,No,285,8
91,179,Fri,Dinner,No,512,5
214,141,Wed,Lunch,Yes,168,7
787,103,Tues,Lunch,No,480,7
52,111,Fri,Dinner,No,413,5
865,573,Tues,Lunch,No,475,4
128,441,Tues,Dinner,No,717,4
411,222,Mon,Lunch,No,455,5
554,274,Wed,Breakfast,No,450,8
452,192,Wed,Breakfast,No,380,8
830,336,Thur,Breakfast,No,205,8
426,93,Fri,Dinner,No,351,7
57,45,Thur,Lunch,No,379,5
741,47,Thur,Lunch,No,249,6
280,570,Tues,Lunch,No,242,4
715,178,Tues,Dinner,No,632,7
253,587,Wed,Dinner,No,560,5
203,151,Fri,Dinner,No,585,7
541,58,Mon,Dinner,No,501,7
716,188,Fri,Dinner,No,737,5
555,507,Wed,Lunch,No,317,3
867,144,Fri,Lunch,Yes,132,7
110,153,Tues,Lunch,No,383,8
29,438,Thur,Lunch,No,304,5
40,294,Thur,Lunch,Yes,112,4
883,405,Fri,Dinner,No,439,6
369,125,Fri,Dinner,Yes,194,7
674,548,Wed,Dinner,No,327,4
283,280,Thur,Dinner,No,649,8
816,173,Wed,Dinner,No,817,6
801,69,Tues,Dinner,No,450,5
342,136,Wed,Breakfast,No,484,6
830,125,Tues,Dinner,No,762,8
710,57,Tues,Breakfast,Yes,169,7
85,101,Mon,Dinner,No,507,7
666,108,Fri,Breakfast,No,466,8
156,169,Mon,Lunch,Yes,195,5
218,38,Mon,Lunch,No,235,6
195,222,Thur,Dinner,No,570,8
339,251,Tues,Dinner,No,322,4
809,167,Tues,Dinner,No,430,8
724,359,Fri,Lunch,No,220,6
577,267,Mon,Dinner,No,623,5
104,86,Thur,Dinner,No,358,6
751,220,Mon,Lunch,No,597,7
580,146,Mon,Lunch,No,369,6
295,108,Wed,Lunch,No,344,6
745,38,Thur,Lunch,No,410,8
671,556,Fri,Lunch,No,231,2
279,214,Tues,Lunch,No,243,6
428,544,Tues,Dinner,No,311,5
341,158,Thur,Dinner,No,333,8
784,171,Wed,Dinner,No,505,7
390,303,Thur,Dinner,No,693,6
18,65,Tues,Lunch,Yes,164,6
823,272,Fri,Lunch,No,276,7
500,274,Wed,Dinner,No,338,5
410,234,Mon,Lunch,No,221,4
722,132,Fri,Lunch,No,225,7
891,115,Thur,Lunch,No,545,8
694,347,Fri,Lunch,Yes,86,3
40,55,Wed,Dinner,No,431,5
865,90,Thur,Lunch,No,417,6
740,444,Wed,Dinner,No,362,5
551,202,Mon,Lunch,No,231,6
321,46,Mon,Dinner,No,410,8
332,150,Tues,Lunch,No,475,8
391,483,Tues,Dinner,No,698,6
445,93,Mon,Lunch,No,574,8
834,144,Wed,Lunch,Yes,124,7
240,559,Fri,Dinner,No,487,5
300,333,Wed,Dinner,No,517,6
278,451,Mon,Lunch,Yes,92,2
450,57,Thur,Lunch,No,415,7
45,121,Fri,Dinner,No,817,7
415,116,Tues,Breakfast,Yes,146,5
621,143,Thur,Lunch,Yes,126,6
238,219,Wed,Lunch,No,379,6
293,141,Fri,Lunch,No,252,4
211,199,Wed,Lunch,No,569,7
173,566,Mon,Lunch,No,259,5
667,413,Fri,Lunch,No,361,4
605,304,Thur,Dinner,Yes,103,4
358,174,Fri,Lunch,No,432,4
571,427,Thur,Lunch,No,343,7
628,147,Wed,Dinner,No,580,8
802,572,Fri,Dinner,No,357,6
86,52,Wed,Lunch,Yes,86,8
680,54,Wed,Lunch,No,358,7
1,408,Wed,Lunch,Yes,111,5
750,170,Fri,Dinner,No,794,9
838,479,Tues,Lunch,No,311,5
418,190,Thur,Dinner,No,422,4
804,121,Tues,Dinner,No,672,9
780,323,Wed,Breakfast,Yes,161,6
811,89,Thur,Breakfast,No,411,8
239,225,Tues,Lunch,No,416,5
405,132,Mon,Dinner,No,496,7
307,131,Tues,Lunch,No,521,5
6,109,Tues,Lunch,No,235,6
534,441,Mon,Breakfast,No,492,7
459,339,Mon,Dinner,No,392,4
808,290,Fri,Lunch,No,231,5
278,105,Tues,Lunch,No,438,6
271,316,Thur,Dinner,No,647,4
867,184,Mon,Dinner,No,297,6
360,59,Mon,Lunch,No,219,7
416,121,Fri,Lunch,No,485,9
827,185,Mon,Dinner,No,531,5
363,73,Tues,Lunch,No,316,6
431,379,Wed,Lunch,No,598,6
89,297,Mon,Breakfast,Yes,148,5
570,41,Mon,Breakfast,Yes,139,7
700,106,Wed,Dinner,Yes,134,7
67,120,Wed,Lunch,No,580,6
452,189,Tues,Breakfast,Yes,142,5
436,215,Wed,Lunch,No,470,8
102,42,Thur,Lunch,No,306,5
2,407,Tues,Lunch,No,270,4
527,118,Tues,Lunch,No,437,6
660,181,Tues,Lunch,No,263,6
358,74,Fri,Breakfast,No,496,8
270,221,Mon,Breakfast,No,333,5
65,206,Mon,Lunch,No,585,6
294,321,Wed,Breakfast,No,409,5
220,182,Thur,Breakfast,No,191,5
359,171,Mon,Lunch,No,320,7
93,354,Tues,Breakfast,No,430,6
102,152,Fri,Breakfast,No,190,9
625,52,Thur,Lunch,No,270,8
129,232,Wed,Dinner,No,517,6
709,195,Wed,Lunch,No,373,7
453,445,Thur,Lunch,No,423,5
852,103,Mon,Breakfast,No,310,8
803,136,Tues,Breakfast,Yes,133,7
834,161,Wed,Lunch,No,456,6
388,151,Wed,Dinner,No,709,8
822,332,Wed,Dinner,No,406,7
25,330,Wed,Dinner,No,348,6
719,81,Mon,Lunch,Yes,144,4
174,271,Thur,Breakfast,No,407,9
60,270,Mon,Lunch,No,407,7
658,196,Fri,Lunch,No,548,7
798,404,Mon,Dinner,No,638,4
180,115,Fri,Dinner,No,294,5
337,174,Thur,Lunch,No,546,7
815,53,Tues,Dinner,No,808,8
866,146,Mon,Lunch,No,281,4
375,63,Thur,Lunch,No,368,5
228,455,Thur,Dinner,No,431,4
419,130,Fri,Dinner,No,699,7
643,337,Fri,Lunch,No,400,6
246,129,Wed,Dinner,Yes,102,6
110,285,Wed,Dinner,Yes,179,6
479,166,Thur,Lunch,No,496,7
834,282,Thur,Lunch,Yes,155,4
662,333,Wed,Lunch,Yes,86,3
331,303,Fri,Lunch,No,598,7
224,303,Mon,Dinner,No,444,7
541,182,Mon,Breakfast,Yes,181,5
743,166,Mon,Dinner,Yes,101,7
351,148,Thur,Dinner,No,505,9
639,539,Fri,Dinner,No,685,5
825,64,Mon,Breakfast,No,177,9
429,87,Fri,Dinner,No,798,9
17,408,Wed,Lunch,No,530,7
363,52,Mon,Breakfast,No,476,7
612,39,Thur,Dinner,No,478,9
86,134,Wed,Lunch,No,462,6
180,129,Wed,Dinner,No,662,5
803,304,Tues,Lunch,No,369,5
586,135,Tues,Dinner,No,670,9
238,54,Mon,Breakfast,No,214,8
222,138,Tues,Dinner,No,456,5
192,212,Fri,Lunch,No,442,6
580,42,Wed,Lunch,No,574,6
528,151,Thur,Lunch,No,220,5
451,226,Tues,Lunch,No,562,8
127,130,Mon,Dinner,No,589,8
380,90,Fri,Lunch,No,386,8
441,135,Fri,Lunch,No,503,6
408,117,Mon,Lunch,No,258,6
304,82,Mon,Lunch,No,453,9
891,101,Wed,Breakfast,No,371,8
665,196,Fri,Lunch,No,582,8
674,114,Fri,Dinner,No,676,6
286,47,Thur,Breakfast,No,271,9
883,190,Mon,Dinner,No,436,7
673,109,Fri,Dinner,No,730,9
243,277,Tues,Lunch,No,241,5
618,399,Mon,Breakfast,Yes,169,7
192,223,Fri,Lunch,No,273,8
454,220,Tues,Lunch,No,437,8
743,532,Fri,Dinner,No,458,6
312,88,Fri,Dinner,No,350,5
299,454,Tues,Breakfast,No,333,6
889,563,Fri,Dinner,Yes,154,3
53,138,Fri,Lunch,No,337,5
178,182,Mon,Lunch,No,343,7
645,210,Thur,Dinner,No,413,8
722,145,Mon,Dinner,No,701,5
882,108,Fri,Dinner,Yes,139,6
480,343,Thur,Dinner,Yes,85,5
315,565,Thur,Dinner,No,819,7
584,123,Tues,Lunch,Yes,179,7
104,574,Thur,Lunch,No,453,6
432,167,Mon,Dinner,No,774,5
771,131,Fri,Lunch,No,456,6
276,185,Fri,Dinner,No,359,8
824,52,Tues,Dinner,No,684,8
602,217,Wed,Dinner,No,298,5
510,130,Tues,Lunch,No,245,5
674,412,Thur,Breakfast,No,356,4
667,409,Mon,Lunch,No,470,7
249,157,Tues,Lunch,No,252,8
260,213,Mon,Dinner,No,381,4
48,435,Fri,Breakfast,No,362,4
362,60,Mon,Lunch,No,448,5
110,97,Fri,Lunch,No,479,6
600,121,Thur,Dinner,No,602,7
596,107,Wed,Breakfast,No,190,6
880,507,Thur,Lunch,No,411,4
436,59,Fri,Dinner,No,566,8
833,159,Wed,Breakfast,No,291,7
376,54,Fri,Dinner,No,582,8
191,165,Wed,Lunch,No,569,5
452,43,Wed,Dinner,No,389,8
416,304,Thur,Lunch,No,304,7
244,118,Tues,Dinner,No,470,8
622,154,Tues,Lunch,No,509,9
492,166,Wed,Breakfast,No,184,8
759,176,Mon,Dinner,No,347,8
369,47,Tues,Dinner,Yes,133,7
603,124,Wed,Dinner,No,632,9
626,508,Thur,Lunch,No,512,4
714,166,Thur,Dinner,No,653,8
888,323,Wed,Dinner,Yes,142,3
372,410,Wed,Dinner,Yes,190,6
204,74,Thur,Lunch,No,254,6
471,517,Thur,Dinner,Yes,138,4
680,74,Mon,Dinner,No,451,8
63,201,Mon,Breakfast,No,197,5
792,31,Mon,Lunch,No,594,7
216,182,Tues,Dinner,No,586,8
890,121,Thur,Dinner,No,661,5
352,202,Thur,Lunch,No,419,6
29,374,Fri,Lunch,No,577,4
446,67,Tues,Breakfast,No,256,8
219,394,Thur,Breakfast,No,351,6
540,95,Tues,Dinner,Yes,182,7
146,498,Mon,Breakfast,No,372,4
255,67,Mon,Dinner,No,361,8
84,102,Tues,Breakfast,No,315,8
17,103,Tues,Lunch,No,495,7
430,293,Wed,Dinner,No,762,8
51,137,Fri,Breakfast,No,341,7
723,153,Tues,Lunch,No,569,8
5,183,Mon,Lunch,Yes,88,5
256,499,Fri,Breakfast,No,221,7
572,327,Fri,Lunch,No,596,4
849,360,Fri,Lunch,No,344,5
418,244,Thur,Breakfast,No,437,6
588,166,Thur,Lunch,No,253,6
297,415,Tues,Lunch,No,349,4
605,83,Fri,Dinner,No,295,8
804,137,Thur,Dinner,No,644,6
793,37,Thur,Dinner,No,732,8
194,135,Tues,Lunch,No,423,7
663,123,Tues,Breakfast,Yes,172,5
204,591,Fri,Lunch,Yes,146,4
210,89,Mon,Dinner,No,711,5
238,486,Fri,Dinner,No,607,4
414,46,Wed,Lunch,No,429,7
742,245,Tues,Lunch,No,552,8
57,376,Tues,Lunch,No,474,4
421,166,Thur,Lunch,No,459,7
533,124,Tues,Lunch,No,598,9
86,131,Thur,Lunch,No,574,8
56,276,Fri,Dinner,No,438,6
619,155,Mon,Lunch,No,482,8
685,244,Mon,Lunch,No,599,6
472,362,Fri,Dinner,Yes,195,4
357,118,Mon,Lunch,No,254,5
474,475,Thur,Lunch,No,400,5
793,141,Mon,Lunch,No,451,7
741,294,Fri,Lunch,Yes,173,6
61,85,Thur,Dinner,No,492,8
421,129,Fri,Lunch,No,480,5
30,339,Wed,Lunch,No,506,4
378,84,Thur,Lunch,No,476,5
173,499,Fri,Dinner,No,330,6
272,197,Fri,Lunch,No,339,5
787,347,Tues,Dinner,No,331,4
721,202,Mon,Breakfast,Yes,112,6
66,342,Mon,Dinner,No,620,6
379,163,Tues,Dinner,No,597,6
405,34,Thur,Lunch,No,477,7
892,154,Tues,Lunch,No,595,6
506,230,Tues,Breakfast,No,297,5
383,129,Thur,Breakfast,Yes,161,6
776,139,Wed,Dinner,No,374,8
513,74,Tues,Breakfast,No,211,7
10,497,Mon,Lunch,No,282,3
242,83,Wed,Lunch,No,310,6
704,91,Mon,Dinner,No,418,8
676,146,Mon,Dinner,No,596,7
262,125,Tues,Lunch,No,478,5
483,465,Tues,Breakfast,No,178,4
191,61,Wed,Breakfast,No,247,7
723,164,Mon,Dinner,No,316,5
759,390,Wed,Breakfast,No,232,8
145,160,Fri,Lunch,No,414,7
618,35,Thur,Dinner,No,468,5
823,283,Thur,Lunch,No,225,7
53,145,Fri,Lunch,No,464,5
773,207,Wed,Dinner,No,454,6
121,202,Wed,Dinner,No,701,8
570,142,Fri,Dinner,No,351,7
235,71,Tues,Lunch,No,481,8
178,379,Fri,Dinner,No,412,3
87,420,Wed,Lunch,No,438,6
266,150,Fri,Lunch,No,525,7
173,166,Wed,Lunch,No,513,6
700,432,Tues,Lunch,Yes,123,5
571,333,Fri,Lunch,No,556,4
7,565,Tues,Lunch,No,583,3
219,141,Tues,Lunch,Yes,106,5
548,126,Fri,Breakfast,No,264,8
526,517,Thur,Lunch,No,232,3
785,509,Tues,Lunch,Yes,156,4
408,409,Tues,Dinner,No,313,4
228,416,Wed,Lunch,No,554,7
14,166,Fri,Dinner,No,535,7
104,126,Mon,Breakfast,No,183,6
726,74,Fri,Dinner,No,699,6
564,316,Mon,Dinner,No,297,7
365,156,Wed,Dinner,No,468,8
599,201,Thur,Lunch,No,261,7
323,316,Wed,Lunch,Yes,88,6
524,406,Wed,Breakfast,Yes,86,3
428,116,Wed,Dinner,Yes,126,4
563,161,Fri,Dinner,No,402,5
522,63,Tues,Dinner,No,421,9
757,131,Tues,Breakfast,No,398,7
419,144,Mon,Lunch,No,402,5
172,148,Thur,Dinner,No,583,6
21,168,Mon,Breakfast,No,479,8
209,52,Thur,Lunch,No,335,8
843,141,Mon,Dinner,No,771,7
543,129,Wed,Lunch,No,332,5
44,75,Thur,Dinner,No,302,7
536,301,Thur,Dinner,No,540,5
245,207,Thur,Lunch,No,492,8
585,120,Mon,Dinner,Yes,180,4
127,333,Tues,Lunch,No,351,6
850,119,Tues,Lunch,No,451,7
197,143,Thur,Lunch,No,263,6
754,47,Tues,Lunch,No,415,6
591,106,Wed,Lunch,No,490,7
44,216,Mon,Lunch,No,375,6
530,104,Thur,Lunch,No,430,7
318,119,Mon,Lunch,No,354,8
540,161,Wed,Dinner,No,475,5
814,60,Mon,Dinner,No,306,8
27,148,Fri,Breakfast,Yes,160,6
615,438,Thur,Lunch,No,227,4
394,186,Wed,Dinner,No,353,6
730,56,Thur,Dinner,Yes,165,6
716,147,Fri,Dinner,No,346,6
831,125,Fri,Breakfast,No,432,8
891,107,Fri,Dinner,No,717,7
464,328,Fri,Lunch,No,561,8
852,232,Mon,Dinner,Yes,168,7
866,88,Thur,Breakfast,Yes,179,8
864,123,Thur,Lunch,No,298,8
495,145,Fri,Breakfast,No,276,6
818,127,Mon,Dinner,No,470,6
337,489,Wed,Lunch,No,283,4
156,228,Mon,Lunch,No,436,4
752,340,Mon,Dinner,No,708,7
753,36,Wed,Lunch,No,252,7
781,100,Mon,Lunch,No,371,5
680,502,Mon,Dinner,No,440,6
808,116,Wed,Dinner,No,584,8
168,389,Tues,Breakfast,Yes,115,5
448,447,Wed,Lunch,No,572,6
549,192,Wed,Lunch,No,368,5
528,344,Fri,Lunch,Yes,108,4
472,140,Fri,Lunch,No,300,5
824,158,Thur,Dinner,Yes,129,5
767,107,Mon,Dinner,No,804,8
173,118,Tues,Dinner,No,491,8
4,168,Wed,Lunch,No,380,8
678,184,Mon,Lunch,No,427,8
528,230,Tues,Breakfast,No,311,6
733,88,Wed,Lunch,No,533,6
809,432,Tues,Lunch,No,505,5
50,346,Tues,Lunch,No,517,5
791,112,Mon,Lunch,No,389,6
651,115,Thur,Dinner,No,426,8
41,161,Fri,Dinner,No,543,6
879,142,Wed,Dinner,No,484,6
640,90,Wed,Dinner,No,722,8
390,312,Tues,Dinner,No,819,7
107,287,Thur,Lunch,No,418,6
242,261,Fri,Lunch,No,346,4
502,151,Wed,Lunch,No,521,8
592,197,Mon,Dinner,No,573,5
819,43,Fri,Lunch,No,417,6
778,327,Wed,Lunch,No,401,6
648,64,Wed,Dinner,No,288,6
731,129,Fri,Dinner,No,718,9
305,110,Tues,Dinner,No,361,5
594,209,Mon,Lunch,No,545,7
497,121,Wed,Dinner,No,598,9
823,136,Thur,Dinner,No,807,8
820,157,Fri,Dinner,No,685,8
245,148,Mon,Dinner,No,332,7
325,142,Tues,Lunch,No,584,6
283,588,Tues,Dinner,No,719,5
544,31,Fri,Dinner,No,483,8
797,140,Wed,Dinner,No,422,6
810,78,Mon,Breakfast,No,302,6
738,274,Tues,Lunch,No,430,6
573,256,Wed,Lunch,No,591,6
31,184,Tues,Lunch,No,252,8
693,51,Mon,Lunch,No,230,7
442,96,Tues,Breakfast,No,259,9
371,36,Thur,Lunch,Yes,102,8
567,33,Tues,Dinner,No,420,8
554,116,Wed,Dinner,No,459,7
192,305,Wed,Dinner,No,319,6
570,351,Mon,Lunch,Yes,144,3
7,319,Fri,Lunch,No,280,7
198,417,Wed,Lunch,No,524,4
406,315,Fri,Dinner,No,711,7
4,50,Fri,Dinner,No,414,5
243,117,Thur,Dinner,No,705,6
636,34,Tues,Dinner,Yes,93,6
786,345,Tues,Lunch,Yes,127,5
162,162,Fri,Dinner,No,771,6
861,45,Tues,Lunch,No,575,9
223,143,Mon,Dinner,No,625,9
855,526,Wed,Dinner,No,626,6
260,97,Fri,Dinner,No,765,7
204,134,Tues,Lunch,No,298,5
34,149,Mon,Dinner,No,448,6
500,140,Tues,Lunch,No,481,7
93,354,Thur,Dinner,No,608,4
150,228,Mon,Dinner,No,758,9
813,241,Wed,Lunch,Yes,180,5
610,327,Fri,Dinner,No,456,6
478,146,Thur,Dinner,No,700,6
781,207,Tues,Lunch,No,535,8
60,79,Tues,Lunch,Yes,92,7
637,401,Wed,Lunch,No,554,4
337,461,Thur,Lunch,No,327,5
874,135,Tues,Dinner,No,480,7
597,487,Tues,Lunch,No,570,5
164,109,Wed,Dinner,No,571,6
331,174,Mon,Lunch,No,529,8
10,101,Tues,Lunch,No,233,5
184,215,Tues,Lunch,No,478,6
105,77,Fri,Lunch,No,499,8
430,193,Tues,Lunch,No,549,5
249,554,Wed,Breakfast,No,197,5
169,105,Thur,Dinner,No,684,8
519,135,Wed,Lunch,No,486,6
391,298,Mon,Lunch,No,472,7
325,168,Tues,Lunch,No,556,5
693,142,Wed,Breakfast,Yes,148,7
